Dairy Product,Calories (kcal),Sugar (g),Protein (g),Carbohydrate (g),Fiber (g),Sodium (mg)
Milk ,60,5.0,3.2,4.8,0.0,42
Skimmed Milk, 34,5.0,3.4,5.0,0.0,42
Butter,717,0.06,0.9,0.1,0.0,11
Ghee,900,0.0,0.2,0.0,0.0,2
Paneer,265,3.57,18.3,1.2,0.0,24
Cheese,402,1.28,25.0,1.3,0.0,621
Curd,98,4.7,3.5,3.5,0.0,36
Yogurt (Plain),59,4.2,5.7,5.0,0.0,36
Cream,195,3.0,2.1,2.9,0.0,20
Ice Cream,207,21.0,3.5,24.0,0.2,80
Condensed Milk,321,55.0,8.0,56.0,0.0,70
Milk Powder,496,49.0,26.0,51.0,0.0,560
Lassi,100,12.0,3.1,12.0,0.2,40
Buttermilk,40,4.0,3.3,4.2,0.0,50
Cottage Cheese,98,3.6,11.1,2.5,0.0,18
Mozzarella,280,1.0,22.2,2.0,0.0,627
Parmesan,431,0.9,35.8,4.1,0.0,1804
Ricotta,174,0.3,11.3,3.3,0.0,84
Feta Cheese,264,0.2,14.2,3.6,0.0,1128
Blue Cheese,353,0.5,21.4,2.1,0.0,1160
Swiss Cheese,380,0.4,27.0,5.0,0.0,208
Processed Cheese,371,2.0,25.5,2.3,0.0,1284
Cheddar,403,0.5,24.9,1.2,0.0,621
Cream Cheese,342,3.5,6.2,3.4,0.0,314
Sour Cream,198,3.0,3.2,4.5,0.1,46
Milkshake,180,15.0,7.0,16.0,0.0,140
Frozen Yogurt,110,17.0,3.9,18.0,0.0,60
Kefir,62,6.0,5.4,6.8,0.0,38
Buffalo Milk,97,5.0,4.0,5.0,0.0,50
Sheep Milk,108,4.5,5.5,4.8,0.0,54
Soy Milk,54,6.0,3.6,6.1,0.0,56
Almond Milk,39,2.0,1.1,3.0,0.0,57
Coconut Milk,230,6.0,2.3,6.0,0.3,42
Rice Milk,47,5.0,0.3,5.5,0.2,52
Oat Milk,60,4.2,1.2,4.8,0.0,53
Cashew Milk,25,3.0,0.8,4.0,0.0,51
Hazelnut Milk,50,2.5,1.5,2.7,0.0,60
Pea Milk,70,3.0,2.5,3.8,0.2,45
Hemp Milk,60,4.0,1.8,5.0,0.1,48
Greek Yogurt,59,10.0,10.0,3.5,0.0,59
Skyr,57,11.3,11.3,4.1,0.0,57
Yak Milk,104,9.8,9.8,5.2,0.0,104
Flavored Yogurt,120,12.0,4.0,14.0,0.3,55
Whey Protein,364,2.1,75.0,1.2,0.0,364
Casein Protein,352,1.8,72.0,1.5,0.0,352
