Fruit Juice,Calories (kcal),Sugar (g),Protein (g),Carbohydrate (g),Fiber (g),Sodium (mg)
Mango Juice,53,12.5,0.5,14.2,0.3,2.0
Apple Juice,46,10.2,0.2,11.5,0.2,1.0
Banana Shake,89,13.4,1.5,20.1,1.1,3.0
Guava Juice,60,7.3,1.0,12.4,0.4,4.0
Papaya Juice,44,8.2,0.4,10.2,0.5,5.0
Pineapple Juice,50,9.5,0.3,11.8,0.2,2.0
Watermelon Juice,28,6.0,0.3,7.9,0.1,1.0
Orange Juice,45,8.6,0.7,11.1,0.3,1.0
Pomegranate Juice,72,12.8,1.2,17.4,0.7,3.0
Grape Juice,62,14.1,0.4,14.8,0.3,2.0
Chikoo Shake,105,18.3,1.8,25.6,1.6,6.0
Strawberry Juice,35,6.1,0.5,8.2,0.5,1.0
Blueberry Juice,60,9.8,0.6,13.7,0.8,1.0
Peach Juice,38,7.5,0.4,9.3,0.3,0.0
Plum Juice,43,8.9,0.5,10.5,0.4,1.0
Kiwi Juice,41,6.3,0.6,10.1,0.6,2.0
Avocado Shake,180,1.2,1.5,7.2,1.3,9.0
Custard Apple Shake,110,24.1,2.2,26.0,2.1,5.0
Jackfruit Juice,95,29.3,1.8,21.3,1.5,3.0
Lychee Juice,64,13.7,0.7,13.9,0.4,2.0
Fig Juice,75,16.4,0.6,19.4,1.2,1.0
Date Shake,134,20.5,1.9,24.3,0.7,0.5
Mulberry Juice,40,7.9,1.1,9.5,0.6,2.0
Tamarind Juice,237,52.1,2.5,58.3,3.4,24.0
Coconut Water,19,3.7,0.7,3.7,0.1,105.0
Lemon Juice,24,2.3,0.2,7.9,0.2,1.0
Cherry Juice,46,7.4,0.8,10.8,0.6,1.0
Gooseberry Juice,41,5.8,0.9,9.0,0.8,3.0
Pear Juice,52,9.3,0.5,12.8,0.5,2.0
Apricot Juice,48,4.1,0.6,10.5,0.3,1.0
