Fruit,Calories (kcal),Sugar (g),Protein (g),Carbohydrate (g),Fiber (g),Sodium (mg)
Mango,60,13.7,0.8,15.0,1.6,1
Apple,52,10.4,0.3,14.0,2.4,1
Banana,89,12.2,1.1,23.0,2.6,1
Guava,68,8.9,2.6,14.0,5.4,2
Papaya,43,7.8,0.5,11.0,1.7,4
Pineapple,50,9.9,0.5,13.0,1.4,1
Watermelon,30,6.2,0.6,8.0,0.4,1
Orange,47,9.3,0.9,12.0,2.2,0
Pomegranate,83,13.7,1.7,19.0,4.0,3
Grapes,69,15.5,0.7,18.0,0.9,2
Chikoo,92,20.5,0.4,25.0,5.3,5
Strawberry,32,4.9,0.8,7.7,2.0,1
Blueberry,57,9.7,0.7,14.0,2.4,1
Peach,39,8.4,0.9,10.0,1.5,0
Plum,46,10.1,0.7,11.0,1.9,1
Kiwi,41,6.7,0.8,10.0,2.1,2
Avocado,160,0.2,2.0,8.5,6.7,7
Custard Apple,94,23.9,2.1,25.0,4.4,4
Jackfruit,95,31.5,1.7,23.0,3.6,3
Lychee,66,15.2,0.8,16.0,1.3,2
Fig,74,16.3,0.8,19.2,2.9,1
Date,282,63.4,2.5,75.0,8.0,1
Mulberry,43,8.1,1.4,9.8,1.7,2
Tamarind,239,57.4,3.1,62.5,6.0,28
Coconut,354,6.2,3.3,15.2,9.0,20
Lemon,29,2.5,1.1,9.0,2.8,1
Cherry,50,8.0,1.0,12.2,1.6,1
Gooseberry,44,4.6,1.3,9.6,5.4,3
Pear,57,9.8,0.6,15.3,3.1,2
Apricot,48,3.9,1.4,11.1,2.0,1
