Grain Name,Calories (kcal),Sugar (g),Protein (g),Carbohydrate (g),Fiber (g),Sodium (mg)
Wheat,340,0.4,13.2,71.2,10.7,2
Rice (White),130,0.1,2.7,28.2,0.4,1
Rice (Brown),111,0.4,2.6,23.5,1.8,4
Barley,354,0.6,12.5,73.5,17.3,6
Oats,389,1.1,16.9,66.3,10.6,2
Corn,365,0.7,9.4,74.3,7.3,1
Quinoa,368,0.9,14.1,64.2,7.0,5
Ragi (Finger Millet),336,1.0,7.6,72.0,11.5,11
Bajra (Pearl Millet),361,0.5,10.5,67.5,11.2,5
Jowar (Sorghum),349,0.6,11.3,72.6,9.7,4
Sorghum Flour,361,0.4,9.3,66.1,8.6,3
Finger Millet Flour,339,0.6,7.8,72.0,10.2,2
Teff,367,0.8,13.3,70.0,11.9,6
Kamut,337,0.5,14.7,67.4,9.5,7
Spelt,338,0.3,12.6,68.9,8.4,6
Farro,346,0.7,15.2,64.0,12.1,5
Wild Rice,101,0.3,4.0,21.3,1.9,5
Millet Grains,356,0.6,11.7,65.5,8.3,4
Amaranth,371,0.9,13.6,60.3,10.1,3
Buckwheat,343,0.5,13.1,72.8,12.5,2
Foxtail Millet,331,0.6,12.3,61.2,8.9,3
Barnyard Millet,342,0.4,12.0,65.4,10.3,4
Fonio,368,0.3,11.5,67.0,11.0,5
Sorghum Grain,343,0.4,10.9,68.5,12.4,6
Freekeh,346,0.5,13.2,61.4,9.8,4
Bulgar Wheat,342,0.6,11.9,68.5,13.2,2
Couscous,356,0.9,12.5,70.2,12.1,3
Rice Bran,316,0.3,14.2,61.3,14.3,5
Rice Flakes (Poha),355,0.7,7.6,72.8,1.5,8
Cornflakes,357,9.0,6.8,84.0,3.2,500
Black Rice,360,0.3,10.2,72.1,1.2,2
Red Rice,367,0.5,12.4,73.4,1.4,3
Jasmine Rice,357,0.4,12.0,74.1,1.6,4
Basmati Rice,362,0.3,11.8,71.5,1.3,5
Sticky Rice,350,0.2,12.6,69.0,1.2,6
Millet Flour,355,0.5,6.5,74.5,1.9,3
Rye Flour,327,0.8,10.4,70.6,12.6,4
Semolina,360,0.6,9.7,64.4,10.5,3
Barley Flour,345,0.7,12.2,63.5,11.2,2
Quinoa Flour,366,0.5,13.1,65.1,12.7,2
Sorghum Puffs,383,4.0,8.5,75.0,3.6,4
Millet Puffs,389,3.5,7.8,74.2,4.0,3
Chia Seeds,486,0.4,17.0,42.1,34.4,12
Flax Seeds,553,0.5,18.3,45.0,35.0,8
Sesame Seeds,573,0.3,18.0,23.0,27.3,11
Poppy Seeds,525,0.8,28.9,28.0,28.0,9
Hemp Seeds,553,0.5,31.6,35.0,28.9,10
Chia Flour,436,1.0,12.3,48.0,21.3,12
Buckwheat Flour,335,0.8,13.1,63.0,12.5,5
Triticale,338,0.7,14.2,67.2,10.5,7
Pearl Barley,352,1.2,13.0,66.5,14.5,4
Steel-cut Oats,370,0.4,12.4,70.4,13.4,3
Rolled Oats,379,0.6,12.0,72.1,12.0,2
Instant Oats,389,0.9,11.8,71.5,13.1,4
Brown Rice Flour,356,0.5,12.6,69.0,11.8,3
Cornmeal,368,0.6,11.3,72.1,14.0,5
Sago,332,0.5,10.2,75.0,10.8,4
Milo,360,0.7,12.3,73.2,12.5,6
Kodo Millet,335,0.5,12.0,74.0,11.9,5
Proso Millet,342,0.4,11.5,70.5,10.7,4
Little Millet,350,0.6,11.1,68.5,9.7,5
Grain Sorghum,357,0.4,12.4,67.2,8.8,3
Barley Grits,360,0.5,13.2,72.4,11.3,5
Rice Grits,362,0.6,13.0,73.0,12.4,4
Rice Flour,355,0.5,14.5,75.1,13.0,3
Corn Flour,366,0.5,12.0,76.0,14.5,3
Sorghum Flour,372,0.7,11.8,72.5,11.7,2
Millet Grits,385,0.5,10.4,74.3,9.5,4
Finger Millet Grits,365,1.1,13.2,68.0,13.5,5
Fonio Flour,456,0.6,24.0,14.0,19.5,2
Whole Wheat Flour,423,0.5,24.5,12.0,21.0,1
White Rice Flour,580,1.5,12.0,28.5,10.4,12
Brown Rice Grits,571,0.4,13.2,27.4,12.7,14
Coconut Flour,560,0.3,12.5,24.3,13.0,10
Soy Flour,590,0.6,14.0,20.3,14.2,11
Almond Flour,590,1.0,15.0,30.0,14.0,9
Pumpkin Seeds,370,0.5,14.2,28.7,13.1,13
Sunflower Seeds,380,0.4,11.4,72.3,8.9,14
Watermelon Seeds,590,0.3,12.1,74.0,10.2,15
Chironji Seeds,520,0.6,13.5,73.1,12.0,12
