Pulse Name,Calories (kcal),Sugar (g),Protein (g),Carbohydrate (g),Fiber (g),Sodium (mg)
Chickpeas,364,10.7,19.3,60.7,17.1,24
Lentils,352,1.8,25.8,60.1,30.5,6
Black Gram (Urad Dal),347,1.6,24.0,58.5,18.3,38
Green Gram (Moong Dal),347,1.2,24.5,57.5,19.1,14
Pigeon Peas (Toor Dal),343,2.5,22.3,62.5,15.6,18
Kidney Beans (Rajma),337,1.2,24.0,60.1,25.3,12
Black-eyed Peas,336,3.2,22.5,58.3,20.1,11
Moth Beans,329,2.1,23.0,59.6,17.6,9
Horse Gram,321,1.8,21.7,57.1,18.4,17
Adzuki Beans,329,1.5,20.2,56.3,16.8,12
Soybeans,446,9.3,36.5,30.2,9.3,2
Navy Beans,346,2.9,22.3,60.8,24.8,5
White Peas,336,2.4,19.5,59.3,18.9,11
Yellow Peas,339,3.1,21.8,59.5,20.7,6
Split Red Lentils,342,1.5,24.6,59.8,19.8,7
Split Yellow Lentils,334,1.8,25.1,58.9,20.5,9
Bengal Gram (Chana Dal),356,2.0,23.3,59.0,18.3,4
Red Kidney Beans,337,1.4,22.7,57.4,19.5,6
Black Beans,339,2.2,21.6,58.5,18.4,10
Butter Beans,318,1.6,20.4,55.6,16.4,8
Broad Beans,334,2.3,21.9,56.7,19.7,5
Cowpeas,329,1.7,23.4,57.1,17.8,7
Fava Beans,341,1.4,24.5,58.2,18.5,8
Field Peas,323,2.8,22.2,58.5,18.1,12
Split Mung Beans,336,1.6,24.0,59.4,19.3,7
Dry Peas,329,1.9,23.5,59.0,17.5,5
Green Peas,352,2.5,24.6,60.2,18.6,6
Pinto Beans,347,2.4,23.9,57.8,19.2,4
Mung Beans (Whole),347,1.3,24.1,58.9,18.7,5
French Beans,340,1.7,20.5,57.0,16.3,3
Cranberry Beans,345,1.6,21.4,58.1,19.2,6
Split Chickpeas,352,1.3,23.0,59.5,18.8,8
Hyacinth Beans,322,2.2,22.3,58.3,18.0,11
Marrowfat Peas,331,3.0,21.7,56.1,17.7,9
Tepary Beans,333,1.4,24.0,59.8,19.1,5
Split Pigeon Peas,336,1.5,24.1,57.9,18.5,7
Split Horse Gram,330,1.9,22.2,57.6,18.4,6
Split Black Gram,333,1.4,23.6,58.4,18.9,4
Split Green Gram,335,1.7,24.3,59.3,19.2,5
Lablab Beans,326,1.3,22.0,55.8,17.8,6
Winged Beans,309,1.9,29.8,49.2,5.2,4
Velvet Beans,317,1.5,27.1,55.5,6.8,5
Mung Sprouts,113,0.7,9.2,18.6,1.9,7
Chickpea Sprouts,120,1.0,9.0,19.2,2.0,8
Lentil Sprouts,106,0.8,8.6,17.4,1.7,6
Soybean Sprouts,122,0.9,13.1,9.2,1.1,5
Green Peas Sprouts,88,0.6,9.4,10.5,2.5,4
Alfalfa Sprouts,23,0.4,3.9,2.1,0.7,3
Adzuki Sprouts,126,1.2,12.7,11.0,2.2,5
Fava Sprouts,102,0.9,8.8,10.5,1.9,6
Brown Lentils,353,1.8,25.3,59.4,19.4,5
Red Lentils,342,1.2,24.1,59.0,19.2,4
Yellow Lentils,334,1.6,23.6,58.5,18.8,6
Kala Chana,364,10.8,19.8,60.4,17.3,8
Kabuli Chana,369,11.1,20.1,61.1,16.9,9
Green Gram Sprouts,88,0.6,9.1,18.1,2.0,6
Split Moth Beans,335,1.3,23.4,57.8,18.5,5
Split Cowpeas,331,1.8,22.5,58.4,18.7,7
Split Fava Beans,328,1.9,24.0,58.3,18.4,6
Split Cranberry Beans,334,1.4,23.7,57.9,18.1,5
Sprouted Horse Gram,120,0.9,8.7,19.3,2.1,8
Dry Cowpeas,329,1.5,22.5,58.4,18.6,5
Split Lima Beans,328,1.3,23.0,58.2,18.4,6
Baby Lima Beans,329,1.8,24.0,58.7,18.5,7
Roman Beans,331,0.8,8.1,19.0,1.8,5
Peanut Beans,326,0.7,7.5,18.2,1.5,6
Split Navy Beans,329,8.0,36.2,31.6,8.6,4
Split Pinto Beans,328,1.4,24.6,57.8,18.2,5
Split Adzuki Beans,335,1.6,25.3,57.9,18.5,7
Urad Dal Sprouts,110,1.8,24.8,58.5,18.3,8
Mung Dal Sprouts,105,2.1,21.4,56.1,17.2,7
Soy Flour,370,1.5,23.3,58.0,18.4,5
Black Lentils,336,1.3,22.9,57.5,18.5,6
Pink Lentils,337,1.2,23.0,58.0,18.3,8
Speckled Lentils,340,1.4,24.5,58.9,18.8,7
Great Northern Beans,334,1.0,20.6,57.4,17.7,6
Blue Peas,339,1.4,22.9,58.1,18.5,5
Peruvian Beans,328,1.2,22.3,58.3,18.1,5
Canary Beans,329,1.5,22.5,57.7,18.3,7
Lupini Beans,337,1.3,21.9,56.5,17.6,8
