Cereal,Calories (kcal),Sugar (g),Protein (g),Carbohydrates (g),Fiber (g),Sodium (mg)
Wheat,443,8.76,8.88,72.79,3.71,20.96
Rice,328,10.59,11.88,56.86,9.65,9.44
Oats,358,8.89,13.86,67.15,7.32,12.49
Barley,425,2.65,8.77,68.51,6.13,27.65
Corn,445,8.3,10.27,69.0,3.64,20.03
Millet,317,11.24,14.77,55.39,9.11,19.19
Rye,315,3.0,8.41,71.83,5.05,10.41
Quinoa,353,2.85,14.09,64.87,3.16,7.79
Buckwheat,373,8.41,12.5,65.33,6.0,14.77
Sorghum,365,9.69,10.38,60.09,5.28,20.7
Amaranth,404,6.76,12.68,69.35,4.47,24.26
Teff,426,2.06,8.55,61.63,8.49,28.43
Kamut,412,11.95,9.57,56.11,4.93,19.75
Fonio,435,4.87,8.28,62.11,7.65,22.12
Spelt,374,2.2,14.93,70.27,7.37,17.24
Farro,433,8.91,14.53,67.52,8.61,11.11
Bulgar,330,2.86,9.71,60.4,6.09,5.54
Triticale,403,9.93,8.96,72.61,5.31,25.26
Freekeh,394,7.65,12.65,75.0,5.94,12.15
Einkorn,343,6.77,14.16,74.84,3.74,11.39
Rice Flakes,441,6.36,11.77,67.53,3.12,12.74
Puffed Rice,370,11.88,12.13,69.42,3.95,18.31
Puffed Wheat,304,2.14,10.27,65.37,4.02,10.82
Rice Bran,352,3.81,14.18,62.66,7.33,14.88
Wheat Bran,314,8.71,9.43,62.78,5.64,11.84
Oat Bran,348,8.77,13.98,61.75,4.47,16.1
Corn Flakes,328,5.47,9.11,64.53,4.43,17.18
Wheat Flakes,403,7.63,9.78,64.6,4.28,23.85
Muesli,407,2.58,14.95,68.08,7.4,8.34
Granola,387,2.85,10.39,59.6,9.9,15.86
Chia Seeds,409,11.52,10.1,56.15,8.44,6.65
Flaxseeds,325,3.2,9.57,56.42,8.83,29.67
Pumpkin Seeds,327,11.62,13.61,68.12,6.43,14.99
Sunflower Seeds,427,8.75,8.46,57.42,4.79,26.23
Hemp Seeds,310,11.66,11.76,69.34,7.26,26.07
Sesame Seeds,329,8.16,12.2,62.89,4.54,14.23
Quinoa Flakes,413,6.0,14.4,66.97,7.31,20.0
Barley Flakes,349,6.48,8.53,57.86,9.9,20.61
Sorghum Flakes,441,7.51,11.37,67.92,3.91,15.89
Millet Flakes,395,7.59,9.79,60.42,7.72,7.73
Brown Rice,350,8.3,9.42,69.67,4.2,16.8
Wild Rice,334,7.52,10.11,64.2,4.93,24.66
Red Rice,407,1.39,10.96,71.39,4.72,5.64
Black Rice,434,7.9,8.02,61.72,6.72,26.12
Jowar,332,4.28,11.96,58.06,6.61,27.28
Bajra,347,3.79,12.78,55.7,3.55,22.8
Ragi,360,8.65,13.59,60.19,4.84,21.93
Pearl Millet,349,8.96,13.59,60.1,4.34,16.53
Little Millet,302,8.36,11.3,74.14,7.67,24.12
Foxtail Millet,361,11.22,9.0,70.42,7.38,29.74
Kodo Millet,361,11.41,13.0,67.41,5.97,28.83
Proso Millet,387,1.15,11.85,66.76,4.59,26.5
Finger Millet,355,6.79,8.82,67.73,9.12,23.16
Barnyard Millet,408,6.2,14.05,74.21,7.77,26.8
Quinoa Puffs,317,11.98,9.74,58.32,8.9,27.45
Amaranth Puffs,409,2.28,13.06,72.84,3.6,7.59
Rice Puffs,341,6.28,9.25,62.14,7.3,14.6
Wheat Puffs,314,6.62,14.96,63.79,4.7,27.78
Cornmeal,416,8.71,12.01,69.33,5.81,7.88
Semolina,307,4.85,14.58,63.65,9.33,27.82
Couscous,394,8.1,9.38,68.18,3.06,12.64
Polenta,391,7.35,13.47,65.86,7.19,26.18
Grits,338,7.39,11.2,68.17,4.52,12.45
Cream of Wheat,439,7.28,11.78,64.54,6.07,23.23
Instant Oats,300,1.8,14.36,73.35,3.7,19.55
Steel-Cut Oats,329,1.25,10.0,56.22,3.53,27.69
Rolled Oats,359,8.02,11.74,61.75,7.55,23.27
Pearled Barley,388,10.84,9.46,62.42,4.11,18.49
Sprouted Grains,445,1.25,13.39,71.12,4.19,12.61
Cereal Mix,365,11.71,14.27,65.75,7.83,14.22
Multigrain Mix,394,10.78,10.78,66.72,5.27,5.67
Fortified Cereals,425,5.61,11.86,67.06,4.22,23.91
Bran Flakes,395,10.18,12.34,64.49,6.7,20.64
Honey Puffs,431,10.45,14.37,63.37,9.87,26.62
Frosted Flakes,369,1.94,14.81,59.99,6.21,19.46
Chocolate Puffs,447,8.5,11.63,69.55,8.45,18.58
Fruity Flakes,374,9.61,13.89,61.48,5.45,20.86
Cinnamon Crunch,449,11.68,14.11,66.58,4.27,21.31
Oatmeal,311,7.57,12.79,61.04,9.45,18.77
Porridge,301,7.27,10.27,62.3,3.75,8.13
Rice Cereal,403,3.38,9.02,56.11,8.28,8.48
Wheat Cereal,303,10.81,11.48,56.25,5.89,5.52
Corn Cereal,350,2.96,8.8,71.77,6.8,28.27
Mixed Grain Cereal,334,11.08,11.47,60.88,3.2,29.8
Quinoa Cereal,356,7.79,10.02,72.33,6.1,14.6
Malt Cereal,368,7.2,11.02,63.9,4.4,10.2
Soya Cereal,443,9.48,13.03,71.33,5.83,16.58
Almond Cereal,306,5.52,8.84,57.49,4.83,23.03
Nut Cereal,360,2.7,8.59,58.95,6.28,8.13
Fruit Cereal,420,6.73,14.81,60.97,6.94,9.27
Coconut Cereal,411,2.67,10.32,73.19,8.51,16.11
Chia Cereal,315,7.08,10.98,72.7,8.24,7.58
Hemp Cereal,335,9.56,10.22,55.67,3.77,17.18
Honey Cereal,380,2.54,8.89,69.16,5.23,8.6
Maple Cereal,332,1.08,10.79,61.0,9.62,14.64
Pumpkin Cereal,321,1.35,8.38,71.34,4.84,14.55
Peanut Butter Cereal,302,8.28,13.51,66.11,5.32,25.35
Berry Cereal,374,11.75,10.32,56.48,4.22,22.99
Chocolate Cereal,349,10.15,9.4,58.77,6.61,24.15
Yogurt Cereal,422,4.19,9.08,61.57,3.75,17.66
