Chocolate,Calories (kcal),Sugar (g),Protein (g),Carbohydrates (g),Fiber (g),Sodium (mg)
Milk Chocolate,558,49.29,8.51,66.71,7.81,27.28
Dark Chocolate 70%,532,48.33,5.8,55.23,8.29,34.07
Dark Chocolate 85%,550,38.47,8.09,66.93,6.74,103.94
White Chocolate,508,34.23,9.84,68.13,13.93,107.08
Hazelnut Chocolate,546,52.4,7.05,58.62,9.18,31.71
Almond Chocolate,536,32.26,8.98,63.31,12.23,33.65
Peanut Butter Chocolate,503,33.45,9.81,67.14,11.96,99.76
Mint Chocolate,522,33.26,3.85,66.39,14.54,58.19
Caramel Chocolate,546,43.21,5.99,61.21,8.77,112.01
Fruit & Nut Chocolate,542,44.85,8.6,55.25,12.07,112.96
Coffee Chocolate,527,41.49,8.42,59.14,9.02,56.69
Coconut Chocolate,591,39.84,5.1,51.73,8.2,70.58
Orange Chocolate,548,32.27,5.66,58.44,12.93,58.1
Raspberry Chocolate,583,52.37,4.9,52.46,11.02,56.55
Chili Chocolate,572,40.83,9.04,63.45,10.25,39.8
Matcha Chocolate,531,38.41,7.56,57.04,9.9,58.75
Ruby Chocolate,588,38.51,9.22,69.94,8.58,110.72
Crispy Chocolate,512,45.52,7.19,66.38,12.97,51.56
Nougat Chocolate,508,44.31,8.3,57.04,6.76,86.6
Toffee Chocolate,565,47.19,4.23,66.98,10.47,70.85
Soy Milk Chocolate,541,41.58,4.33,50.68,10.14,139.21
Vegan Dark Chocolate,554,53.55,6.37,55.75,14.08,102.38
Sea Salt Chocolate,570,42.88,9.87,64.63,7.76,73.03
Macadamia Chocolate,546,36.63,9.27,67.54,6.8,70.95
Pistachio Chocolate,576,58.58,7.61,63.82,12.93,25.15
Oreo Chocolate,514,50.06,7.38,56.96,14.19,130.52
Brownie Chocolate,587,54.14,8.4,56.99,11.26,52.62
Banana Chocolate,569,38.69,3.86,54.26,9.67,52.54
Strawberry Chocolate,525,43.81,8.63,69.16,8.77,40.17
Ginger Chocolate,556,39.86,5.23,68.66,6.29,145.05
Lavender Chocolate,551,32.85,6.05,68.02,9.92,79.55
Honeycomb Chocolate,560,31.66,4.49,68.98,10.77,69.15
Marzipan Chocolate,575,39.43,3.16,65.24,14.89,86.68
Cherry Chocolate,526,30.89,3.9,55.08,11.29,63.86
Lemon Chocolate,580,45.23,5.58,53.18,12.72,122.39
Cinnamon Chocolate,536,53.99,3.89,66.13,11.98,51.78
Hazelnut Praline Chocolate,520,48.38,5.75,56.33,10.92,80.38
Biscuit Chocolate,522,59.53,7.09,64.99,10.51,91.06
Mint Truffle Chocolate,524,57.99,8.67,53.91,11.24,38.6
Black Currant Chocolate,509,30.99,9.21,65.68,5.37,57.94
Almond Truffle Chocolate,532,51.15,5.73,58.03,14.76,116.12
Caramelized Hazelnut Chocolate,544,56.96,6.44,50.76,10.4,89.76
Peanut Caramel Chocolate,534,57.43,9.22,65.72,9.55,80.75
Dark Almond Chocolate,564,39.94,7.2,66.93,7.65,43.83
Chili Lime Chocolate,598,38.34,4.77,56.91,9.0,38.32
Salted Caramel Chocolate,534,41.43,9.34,59.48,13.82,34.41
Espresso Chocolate,549,47.04,8.49,68.25,8.86,105.69
