Dairy Product,Calories (kcal),Sugar (g),Protein (g),Carbohydrate (g),Fiber (g),Sodium (mg)
Milk ,64,5,3.2,5,0,40
egg,142,0.5,12.2,1.4,0,136
Milk (Skimmed),35,71,3.5,5,0,40
Curd,60,72,4,4,0,36
Buttermilk,30,73,3,3,0,25
Paneer,300,74,18,4,0,22
Cheese,402,75,25,1,0,621
Butter,717,76,0.5,0,0,714
Ghee,900,77,0,0,0,1
Yogurt (Plain),59,78,10,4,0,36
Flavored Milk,110,79,8,19,0,90
Cream,195,80,2,2,0,23
Condensed Milk,321,81,7,55,0,107
Lassi,150,82,4,12,0,74
Ice Cream,210,83,4,22,0,80
Milkshake (Chocolate),180,84,6,28,0.5,95
Milkshake (Vanilla),160,85,5,25,0.5,85
Kefir,50,86,3,4,0,30
Whey Protein Shake,120,87,25,3,0,60
Soy Milk,50,88,3,6,0.5,70
Almond Milk,40,89,1,5,0.5,60
Coconut Milk,230,90,2,5,0,15
Evaporated Milk,135,91,8,10,0,100
Sour Cream,193,92,2,3,0,18
Ricotta Cheese,174,93,11,4,0,76
Mozzarella Cheese,280,94,22,2,0,643
Parmesan Cheese,431,95,38,1,0,1804
Cottage Cheese,98,96,11,3,0,364
Whipped Cream,345,97,2,2,0,50
Mascarpone,390,98,7,1,0,60
Probiotic Drink,75,99,2,15,0,30
Buttermilk (Spiced),45,100,2,6,0.1,35
Malted Milk,110,101,7,12,0.2,90
Coffee with Milk,35,102,2,6,0,45
Tea with Milk,30,103,2,5,0,40
Chocolate Milk,120,104,6,19,0,100
Strawberry Milk,90,105,4,15,0,90
Goat Milk,69,106,3,4,0,50
Camel Milk,66,107,4,5,0,45
Buffalo Milk,100,108,4,5,0,60
Cream Cheese,342,109,21,2,0,321
Greek Yogurt,59,110,10,5,0.1,36
Butter Milk (Low Fat),35,111,3,3,0,25
Yak Milk,200,112,25,4,0,50
Soy Yogurt,40,113,3,3,0.5,70
Rice Milk,60,114,1,5,0.5,15
Cashew Milk,70,115,2,4,0.5,20
Hazelnut Milk,85,116,3,6,0,25
A2 Cow Milk,72,117,4,5,0,60
Peanut Milk,90,118,3,5,0,70
Khoa,321,119,7,50,0,107
Dahi (Set Curd),56,120,4,4,0,36
Feta Cheese,265,121,14,1,0,917
Blue Cheese,353,122,21,2,0,1292
Queso Fresco,318,123,18,1,0,490
Milk Powder (Reconstituted),73,124,8,5,0.1,102
Colostrum Milk,50,125,3,4,0,70
Ice Milk,100,126,3,3,0,80
Clotted Cream,210,127,1,2,0,50
Tzatziki,45,128,2,4,0,60
Processed Cheese,340,129,25,2,0,621
Paneer (Low Fat),145,130,10,2,0.5,200
Provolone Cheese,310,131,11,1,0,380
Whey Water,20,132,3,3,0.1,25
Labneh,40,133,4,3,0,40
Milk Kefir,60,134,3,4,0,60
Acidophilus Milk,42,135,4,4,0,50
Yogurt Drink,65,136,4,5,0,55
Coconut Yogurt,55,137,4,6,0.5,65
Laban,65,138,4,5,0,1
Kashkaval Cheese,320,139,320,1,0,714
Creamed Cottage Cheese,120,140,120,2,0.1,200
Sheep Milk,48,141,48,3,0,380
Evaporated Coconut Milk,170,142,170,0,0,25
Tofu Milk,90,143,90,3,0,40
Almond Yogurt,50,144,50,5,0.5,60
Lactose-Free Milk,56,145,56,4,0,50
Kombucha with Milk,38,146,38,5,0,55
Dairy-Free Yogurt,45,147,45,6,0,65
Kumiss,900,148,0,0,0,1
Goat Yogurt,717,149,1,0,0,1
Buffalo Yogurt,717,150,1,0,0,1
Cashew Yogurt,400,151,3,3,0,90
Vegan Cheese,460,152,4,5,0,40
