Fruit,Calories (kcal),Sugar (g),Protein (g),Carbohydrates (g),Fiber (g),Sodium (mg)
Apple,95,8.24,1.22,20.24,2.89,9.85
Banana,96,15.26,1.52,19.32,1.76,4.18
Mango,70,9.65,3.22,23.33,1.01,0.59
Orange,77,22.0,2.3,20.51,8.47,9.13
Grapes,62,18.18,1.74,10.32,4.91,6.74
Pineapple,68,19.34,3.24,22.0,4.6,5.58
Watermelon,94,17.56,1.54,23.78,6.81,3.25
Papaya,36,20.69,1.72,12.76,5.0,0.64
Guava,33,16.63,1.65,15.14,8.68,8.4
Pomegranate,41,6.77,1.65,22.7,9.7,5.5
Strawberry,63,19.47,1.54,26.3,4.48,0.63
Blueberry,41,10.25,1.51,27.59,8.16,4.46
Raspberry,96,15.45,1.02,13.71,9.39,0.68
Blackberry,45,18.98,2.72,20.64,5.99,2.82
Kiwi,52,10.6,2.35,21.33,2.12,4.7
Peach,63,10.83,2.41,19.79,2.98,8.19
Plum,58,12.58,1.99,8.45,2.79,0.31
Cherry,76,15.18,1.43,12.58,8.74,9.35
Lychee,90,18.32,2.89,15.04,4.86,7.76
Apricot,72,14.64,3.42,21.56,2.87,7.29
Fig,75,18.43,3.2,15.94,5.72,6.71
Avocado,37,14.74,0.82,27.47,9.94,5.22
Cranberry,47,22.77,0.88,25.98,9.75,1.23
Coconut,41,13.4,2.21,20.13,2.15,9.13
Date,41,19.46,2.56,18.57,3.48,9.82
Gooseberry,66,24.16,2.04,12.11,2.62,2.9
Passion Fruit,40,13.55,3.35,21.47,6.8,5.01
Starfruit,98,6.7,0.93,22.28,3.95,7.0
Tamarind,63,14.57,3.09,14.02,1.07,7.8
Jackfruit,43,17.24,0.72,12.59,3.39,5.2
Mulberry,83,20.26,2.0,18.19,4.03,5.8
Persimmon,88,8.76,3.08,23.62,2.27,5.97
Nectarine,36,8.74,3.04,18.95,7.66,4.06
Olive,39,14.25,2.79,26.42,9.73,9.49
Cantaloupe,54,19.86,2.87,13.12,5.67,3.51
Honeydew,58,10.75,0.94,12.31,6.23,4.18
Dragon Fruit,90,22.43,2.48,11.07,7.87,8.75
Mangosteen,50,9.3,1.47,8.67,2.68,2.24
Custard Apple,90,14.03,3.17,21.42,5.92,3.3
Soursop,41,17.62,2.31,12.63,1.13,1.02
Bael,36,20.41,2.09,11.44,5.44,3.19
Jujube,35,6.81,2.49,8.66,6.15,5.71
Amla,73,21.21,3.32,22.26,4.32,8.44
Bilberry,46,16.77,2.93,11.74,8.05,0.11
Ackee,68,17.67,1.39,22.29,6.86,6.27
Longan,70,9.18,2.06,27.98,6.05,0.75
Sapota,49,20.65,2.83,25.0,2.5,4.99
Maracuja,84,9.07,1.1,11.45,7.3,7.98
Rambutan,95,21.57,0.78,10.34,4.05,4.11
Durian,40,12.39,1.41,16.04,5.26,5.98
Barberry,56,22.13,1.65,14.13,3.41,7.8
Breadfruit,99,7.49,2.72,18.28,4.6,9.15
Rose Apple,81,18.63,0.84,11.71,1.23,8.9
Salak,70,13.98,2.29,11.49,1.27,4.87
Tangerine,69,11.88,0.95,12.58,2.52,4.02
Clementine,52,12.88,2.16,16.99,8.6,9.12
Pomelo,85,21.06,2.96,17.76,6.24,4.42
Cloudberry,96,20.27,1.92,24.44,8.01,5.16
Sea Buckthorn,87,14.17,0.59,27.18,2.69,1.37
Kumquat,85,23.92,3.26,9.04,4.04,8.36
Feijoa,87,15.78,2.46,26.84,4.17,9.62
