Grain,Calories (kcal),Sugar (g),Protein (g),Carbohydrate (g),Fiber (g),Sodium (mg)
Rice,365,0.12,7.1,80,1.3,5
Wheat,340,0.6,13.2,72,12.0,2
Barley,354,0.8,12.5,77,10.8,9
Maize,365,1.1,9.4,74,9.4,7
Sorghum,339,0.5,11.3,70,6.7,6
Millet,378,0.6,11.0,72,8.5,5
Quinoa,368,1.1,14.1,64,6.9,4
Amaranth,371,1.5,13.6,60,6.6,5
Rye,335,1.1,10.4,76,14.6,3
Oats,389,1.5,16.9,66,10.6,4
Buckwheat,343,1.5,13.3,70,10.8,2
Teff,367,1.4,12.6,71,10.1,3
Fonio,378,1.6,11.1,72,11.5,8
Spelt,338,0.9,14.6,70,12.0,7
Farro,339,0.8,13.1,68,11.3,6
Kamut,337,0.7,14.0,69,10.2,5
Bulgur,342,1.3,12.3,76,12.3,4
Freekeh,345,1.4,13.5,74,11.4,5
Wild Rice,357,1.1,14.8,75,9.6,3
Job's Tears,355,1.2,13.4,78,10.2,6
Triticale,331,0.9,11.7,73,12.7,4
Brown Rice,111,0.4,2.6,23,1.8,1
Black Rice,110,0.5,2.5,22,2.0,2
Red Rice,111,0.4,2.7,23,1.9,1
Jowar,356,0.6,11.3,72,9.3,3
Bajra,361,0.5,10.8,74,8.8,2
Ragi,328,0.8,7.6,73,3.6,4
Foxtail Millet,351,1.1,12.1,69,10.2,5
Kodo Millet,353,0.9,11.7,68,10.5,3
Little Millet,329,0.7,8.2,65,9.2,2
Pearl Millet,361,0.8,10.7,70,8.8,3
Barnyard Millet,342,1.2,11.5,71,10.4,4
Finger Millet,328,0.9,7.7,72,3.6,3
Puffed Rice,402,0.6,6.8,90,0.8,1
Flattened Rice,350,0.7,7.5,77,0.9,2
Parboiled Rice,362,0.5,7.4,75,0.6,1
Sticky Rice,354,0.4,6.9,76,1.1,3
Basmati Rice,365,0.3,7.5,78,0.5,4
Arborio Rice,357,0.6,7.2,79,1.2,5
Sona Masoori Rice,360,0.5,8.3,80,1.0,3
Seeraga Samba,366,0.4,7.4,81,0.8,2
Ponni Rice,364,0.5,7.6,79,0.9,3
Red Parboiled Rice,368,0.8,8.1,80,1.1,1
Wild Oats,389,1.5,16.9,66,10.6,4
Cornmeal,362,0.3,6.1,77,9.8,3
Polenta,380,0.7,5.9,78,10.2,2
Corn Flour,361,0.4,6.3,75,11.5,5
Semolina,363,0.5,12.7,73,10.7,6
Durum Wheat,360,0.6,13.2,72,10.1,5
Couscous,376,0.9,12.6,74,11.2,4
Farina,380,0.7,12.5,77,12.0,3
Muesli,392,2.1,10.2,79,6.2,2
Bran,216,0.5,13.1,47,3.3,1
Cracked Wheat,341,0.9,12.4,74,10.4,4
Sprouted Wheat,313,0.6,13.3,70,11.0,3
Wheat Germ,385,0.5,13.2,71,10.3,5
Barley Flour,343,0.7,12.5,69,10.1,4
Brown Teff,366,0.8,13.7,73,11.4,3
White Teff,357,0.6,13.5,72,10.2,4
Rice Flour,357,0.9,6.3,74,2.7,2
Millet Flour,367,0.4,11.2,72,9.1,3
Buckwheat Flour,343,0.5,13.3,74,10.5,2
Amaranth Flour,374,0.7,14.2,69,11.3,4
Sorghum Flour,336,0.8,11.1,71,10.1,5
Corn Starch,381,0.4,6.5,78,1.7,1
Multigrain Flour,357,0.6,12.4,73,10.8,3
Quinoa Flour,366,0.8,13.4,74,11.9,2
Rye Flour,335,0.5,12.2,72,12.1,5
Whole Wheat Flour,356,0.6,13.7,70,10.3,4
Almond Flour,607,1.7,20.1,19,9.4,1
Coconut Flour,666,0.9,19.9,18,10.6,2
Chia Seeds,486,1.1,18.3,20,9.8,4
Flax Seeds,534,0.8,18.1,17,8.7,3
Psyllium Husk,32,0.1,1.5,4,11.1,1
Sunflower Seeds,584,1.5,17.4,15,10.2,2
Pumpkin Seeds,574,1.3,18.9,14,9.5,5
Hemp Seeds,553,0.9,18.2,16,11.3,4
Sesame Seeds,573,1.2,17.8,13,12.4,3
Basil Seeds,525,0.9,17.2,12,9.8,2
Poppy Seeds,324,0.6,17.1,14,11.2,1
Sorghum Bran,330,0.4,12.3,76,11.2,4
Rice Bran,316,0.5,13.2,72,11.2,5
Wheat Bran,367,0.3,11.4,71,11.2,3
Oat Bran,316,0.7,13.5,74,11.2,2
Corn Bran,357,0.5,12.4,70,11.2,1
Quinoa Bran,375,0.4,12.1,69,11.2,3
Millet Bran,332,0.8,12.8,72,11.2,2
Teff Bran,330,0.7,13.2,71,11.2,5
Ragi Flour,339,0.5,12.5,73,11.2,4
Spelt Flour,334,1.2,17.0,64,11.2,3
Kamut Flour,335,1.2,17.0,64,11.2,3
Farro Flour,337,1.2,17.0,64,11.2,3
Barley Groats,389,1.2,17.0,64,11.2,3
Oat Groats,354,1.2,17.0,64,11.2,3
Cracked Rye,339,1.2,17.0,64,11.2,3
Wheat Berries,354,1.2,17.0,64,11.2,3
Whole Barley,352,1.2,17.0,64,11.2,3
Pearled Barley,386,1.2,17.0,64,11.2,3
Steel-cut Oats,389,1.2,17.0,64,11.2,3
Instant Oats,389,1.2,17.0,64,11.2,3
