Pulse,Calories (kcal),Sugar (g),Protein (g),Carbohydrate (g),Fiber (g),Sodium (mg)
Chickpeas,364,6.0,19,61,17.0,24
Lentils,353,4.0,25,63,11.0,28
Green Gram,347,3.5,24,60,16.0,22
Black Gram,341,3.0,23,59,15.0,20
Pigeon Peas,343,4.5,22,60,12.0,25
Kidney Beans,333,3.5,21,59,12.5,23
Black-eyed Peas,336,3.2,23,58,10.0,21
Horse Gram,321,2.8,22,57,11.5,19
Moth Beans,343,4.1,24,60,11.0,22
Soybeans,446,7.0,36,30,9.0,5
Adzuki Beans,329,3.1,20,57,10.5,20
Navy Beans,337,3.5,21,58,12.0,22
Broad Beans,341,3.8,22,59,13.0,23
Split Peas,348,4.0,23,60,11.0,25
Bambara Beans,367,5.0,21,62,13.5,28
Cranberry Beans,335,3.6,22,58,10.0,22
Velvet Beans,345,4.1,24,59,12.0,24
Lima Beans,338,3.9,23,58,11.5,23
Winged Beans,321,3.5,21,57,12.0,20
Mung Beans,347,3.8,25,60,12.0,24
Urad Dal,343,3.5,24,61,11.0,21
Masoor Dal,356,4.0,22,60,13.0,23
Toor Dal,342,3.9,21,58,11.5,20
Chana Dal,369,4.2,25,63,13.5,25
Rajma Dal,333,3.4,22,59,12.0,22
Moong Dal,347,3.8,24,60,12.5,24
Kabuli Chana,364,4.5,19,61,17.0,19
Brown Lentils,350,3.7,23,59,13.0,23
Matki Dal,346,3.9,22,60,12.0,21
Red Kidney Beans,333,3.5,21,59,11.0,22
Lablab Beans,336,3.6,23,58,12.0,21
Pinto Beans,342,4.0,24,60,13.0,23
Butter Beans,338,3.7,22,58,11.5,22
Green Peas,347,3.8,23,59,11.0,23
Fava Beans,331,3.3,21,57,10.0,20
Dry Peas,337,3.5,22,58,12.0,22
Cowpeas,335,3.7,23,59,11.0,21
Split Moong Beans,343,4.1,24,60,12.0,23
Split Urad Beans,344,3.8,23,59,12.5,22
Hyacinth Beans,349,4.3,22,62,13.0,24
Kollu,321,2.9,21,55,10.0,18
Sprouted Lentils,357,3.5,25,60,11.5,22
Yellow Peas,331,3.3,22,58,11.0,20
Green Gram Dal,339,3.6,24,59,12.0,23
White Urad Dal,346,4.0,23,60,12.5,22
Horse Gram Dal,342,3.8,22,59,12.0,22
Kulith Dal,333,3.5,22,58,11.0,21
Black Chana,367,4.3,25,62,13.0,24
Moth Dal,339,3.7,23,59,12.0,22
Split Black Gram,344,3.9,24,60,11.5,23
Peas Dal,335,3.6,22,58,11.0,21
Soy Chunks,330,3.4,21,57,10.5,20
Split Green Peas,366,5.0,26,63,12.5,25
Split Yellow Peas,354,4.3,24,61,11.0,22
Chickpea Flour,360,4.5,25,62,12.0,23
Besan Flour,367,4.8,26,63,12.0,25
Whole Green Gram,361,4.1,24,61,11.0,23
Mung Beans Sprouts,348,4.0,23,59,13.0,22
Masoor Malka,335,3.8,22,58,11.5,21
Whole Urad Dal,343,4.2,24,60,12.0,24
Arhar Dal,331,3.5,22,58,11.0,21
Bengal Gram Dal,342,3.9,21,57,10.5,20
Sundal Beans,333,3.5,21,58,12.0,21
Broad Beans Split,340,4.1,25,63,12.5,25
Whole Black Urad,335,3.6,22,58,12.0,21
Roasted Gram,332,3.4,20,57,11.0,20
Bambara Groundnut,320,3.2,21,55,10.0,18
Sprouted Chickpeas,348,4.0,24,60,12.0,23
Muthira,339,3.9,22,59,11.0,22
Dried Green Peas,336,3.5,23,58,11.5,21
Hulled Split Moong,330,3.2,21,57,11.0,20
Flaked Rice Pulses,351,4.1,25,63,12.5,24
Flattened Green Gram,345,3.7,23,59,11.5,23
Moong Chilka Dal,341,3.9,24,60,12.0,22
Yellow Lentils,333,3.4,21,57,11.0,20
Split Red Lentils,355,4.0,26,63,12.5,24
Black Lentils,328,3.3,20,56,10.5,19
Bengal Gram Flour,327,3.2,19,55,10.0,18
Cracked Wheat Pulses,366,5.0,26,63,12.0,24
Horse Gram Flour,335,3.7,22,59,11.5,22
Sprouted Green Gram,344,3.8,23,60,11.5,23
Dry Green Lentils,337,3.4,21,58,11.0,21
Karamani,343,4.0,24,60,12.0,23
Bajra Dal,348,3.9,23,59,12.5,22
Dry Pigeon Peas,334,3.5,21,57,11.0,20
Kuthiraivali Dal,333,3.4,21,57,11.0,20
Ragi Dal,332,3.2,20,55,10.5,18
Whole Masoor,341,3.7,23,60,11.5,23
Millet Dal,339,3.6,23,59,11.0,22
Sprouted Fenugreek,328,3.3,21,57,10.5,20
Roasted Makhana,333,3.5,21,57,11.0,20
Yellow Gram,347,4.2,24,60,12.0,23
Dal Makhani Base,364,4.5,25,63,12.5,25
Rajma Masala Dal,353,3.8,22,58,11.0,22
Green Chickpeas,340,4.0,23,59,12.0,23
Black Chickpeas,332,3.5,22,58,11.0,21
